iter	Passed	Remaining
0	26	499
1	44	397
2	70	401
3	87	350
4	104	313
5	129	301
6	147	273
7	171	257
8	198	243
9	221	221
10	259	212
11	273	182
12	291	157
13	313	134
14	340	113
15	367	91
16	386	68
17	404	44
18	423	22
19	443	0
